Team,Year,Sagarin,Zsagarin,FrNbrRecruits,Fr5star,Fr4star,Fr3star,Fravg,Frpoints,Sonbrrecruits,So5star,So4star,So3star,Soavg,Sopoints,Jrnbrrecruits,Jr5star,Jr4star,Jr3star,Jravg,Jrpoints,Srnbrrecruits,Sr5star,Sr4star,Sr3star,Sravg,Srpoints,Rssrnbrrecruits,Rssr5star,Rssr4star,Rssr3star,Rssravg,Rssrpoints,conference,lysagarin,z_lysagarin,tyasagarin,z_tyasagarin,retoff,retdef,qbret,bowl,bowlwin,coachexp_school,coachexp_total,lindys,BigTen,SEC,BigTwelve,ACC,PacTen,Bigeast,Ind
Alabama,2007,79.26,0.20166583,25,0,10,12,3.28,1789,23,2,10,11,3.61,2127,32,0,6,21,3.03,1424,27,0,4,16,2.89,1366,17,0,4,10,3.06,1102,SEC,73.1,-0.416816436,84.31,0.669461658,9,5,1,1,0,0,11,34,0,1,0,0,0,0,0
Arizona,2007,76.4,-0.128056492,18,0,4,9,2.72,792,25,1,6,17,3.28,1530,24,0,7,14,3.17,1395,25,0,1,9,2.44,514,26,0,2,16,2.77,1340,pacten,75.92,-0.128733421,69.94,-0.816138907,9,10,1,0,0,3,3,46,0,0,0,0,1,0,0
Arizona State,2007,84.35,0.788479335,24,0,2,13,2.63,783,24,0,5,15,3.04,1163,22,0,1,16,2.82,774,22,0,1,12,2.64,837,23,1,4,16,3.17,1613,pacten,76.73,-0.045986172,80.14,0.238358362,10,6,1,1,0,0,18,30,0,0,0,0,1,0,0
Arkansas,2007,81.39,0.44722826,27,0,4,17,2.93,1083,26,1,4,14,2.96,1172,24,1,3,15,3,1293,30,0,3,14,2.67,938,25,0,3,14,2.8,1400,SEC,85.64,0.864233567,70.97,-0.709655359,6,4,1,1,0,9,14,14,0,1,0,0,0,0,0
Auburn,2007,84.42,0.796549461,30,0,13,15,3.37,2013,25,1,14,7,3.52,2148,21,1,7,10,3.19,1596,27,0,4,10,2.67,954,26,1,6,17,3.23,1770,SEC,88.42,1.148230298,83.14,0.548504618,5,7,1,1,1,8,12,23,0,1,0,0,0,0,0
Baylor,2007,58.75,-2.162881316,29,0,1,12,2.34,274,29,0,0,10,2.34,226,20,0,1,5,2.35,264,20,0,0,1,2.05,65,23,0,0,6,2.22,850,bigtwelve,65.21,-1.222835936,72.07,-0.595935065,4,7,0,0,0,4,6,75,0,0,1,0,0,0,0
Boston College,2007,81.61,0.472591515,18,0,2,11,2.83,756,20,0,2,13,2.85,794,16,0,2,9,2.81,434,20,1,1,11,2.8,921,24,0,3,20,3.08,1529,ACC,82.4,0.533244571,85.1,0.751133505,7,9,1,1,1,0,0,24,0,0,0,1,0,0,0
California,2007,79.33,0.209735957,26,0,5,18,3,1378,20,0,9,8,3.3,1512,24,1,9,12,3.38,1816,18,0,6,6,3,935,29,0,4,20,2.97,1700,pacten,89.9,1.299422802,79.38,0.159787977,7,5,1,1,1,5,5,12,0,0,0,0,1,0,0
Cincinnati,2007,82.81,0.610936546,23,0,0,6,2.26,90,20,0,0,1,1.95,62,24,0,0,1,2.04,65,16,0,0,1,2.06,97,24,0,0,1,2.04,750,Bigeast,76.23,-0.097064721,63.15,-1.518103265,7,8,1,1,1,0,16,52,0,0,0,0,0,1,0
Clemson,2007,81.93,0.509483523,23,0,8,12,3.22,1555,20,2,6,10,3.4,1741,25,0,6,15,3.08,1431,24,0,1,7,2.38,364,17,0,2,10,2.82,923,ACC,80.18,0.306455814,81.2,0.347943373,3,6,0,1,0,8,10,33,0,0,0,1,0,0,0
Colorado,2007,73.81,-0.426651183,28,1,2,14,2.68,1081,23,0,0,14,2.61,520,25,0,1,15,2.68,613,19,0,1,8,2.53,431,25,0,5,18,3.12,1631,bigtwelve,62.93,-1.455754118,77.67,-0.016995388,9,7,0,0,0,1,11,74,0,0,1,0,0,0,0
Connecticut,2007,77.05,-0.053119601,29,0,1,5,2.24,272,23,0,0,4,2.17,80,26,0,0,7,2.27,95,28,0,0,1,2.04,65,20,0,0,5,2.25,770,Bigeast,68.26,-0.911256788,69.31,-0.881269621,8,6,0,0,0,8,8,82,0,0,0,0,0,1,0
Duke,2007,59.7,-2.053358166,21,0,0,4,2.19,138,26,0,1,8,2.38,400,23,0,1,6,2.26,496,24,0,0,2,2.08,131,14,0,0,8,2.57,585,ACC,49.76,-2.801163093,54.17,-2.446474391,11,5,1,0,0,3,3,98,0,0,0,1,0,0,0
Florida,2007,87.59,1.162010917,27,4,16,7,3.89,2959,27,4,17,5,3.89,2901,18,0,8,9,3.39,1467,23,1,11,10,3.52,2065,26,5,9,10,3.65,2358,SEC,96.18,1.940969375,83.95,0.632244107,6,2,0,1,1,2,6,11,0,1,0,0,0,0,0
Florida State,2007,77.01,-0.057731102,20,0,7,10,3.2,1394,31,2,18,10,3.68,2703,22,3,13,5,3.82,2582,27,1,16,8,3.59,2377,19,1,8,10,3.53,1617,ACC,78.73,0.158328023,82.31,0.462697487,6,8,1,1,1,31,41,21,0,0,0,1,0,0,0
Georgia,2007,89.83,1.420254974,23,0,12,10,3.48,1895,28,2,14,12,3.64,2436,19,0,11,8,3.58,1814,21,1,11,8,3.57,2074,25,2,8,13,3.4,1947,SEC,84.4,0.737558766,83.32,0.567113393,7,4,1,1,1,6,6,17,0,1,0,0,0,0,0
Georgia Tech,2007,73.07,-0.511963952,20,0,8,10,3.3,1453,16,0,1,9,2.69,372,19,0,0,7,2.37,255,23,0,1,3,2.22,347,21,0,2,10,2.67,1096,ACC,79.29,0.215535997,76.5,-0.137952428,7,8,0,1,0,5,8,31,0,0,0,1,0,0,0
Illinois,2007,79.27,0.202818706,23,2,5,11,3,1448,27,0,6,12,2.89,1148,21,0,3,6,2.57,385,24,0,1,5,2.29,406,26,1,2,13,2.77,1399,bigten,60.66,-1.68765073,62.79,-1.555320816,9,9,1,0,0,2,5,49,1,0,0,0,0,0,0
Indiana,2007,68.7,-1.015770438,20,0,0,5,2.15,82,20,0,0,5,2.25,85,24,0,0,3,2.13,143,25,0,0,6,2.24,266,26,0,0,8,2.31,990,bigten,64.8,-1.264720346,68.39,-0.976381139,8,8,1,0,0,2,8,76,1,0,0,0,0,0,0
Iowa,2007,67.7,-1.131057963,22,0,5,11,2.95,1167,20,0,2,10,2.7,703,23,1,7,11,3.22,1745,20,1,1,7,2.6,701,21,0,3,11,2.81,1190,bigten,73.85,-0.340198613,81.09,0.336571343,6,8,0,1,0,8,11,27,1,0,0,0,0,0,0
Iowa State,2007,63.88,-1.57145631,25,0,1,0,2.44,343,30,0,0,15,2.5,285,25,0,2,9,2.52,277,28,0,1,10,2.43,626,26,0,0,12,2.46,1120,bigtwelve,63.59,-1.388330434,79.27,0.148415948,4,5,1,0,0,0,0,90,0,0,1,0,0,0,0
Kansas,2007,92.78,1.760353174,23,0,1,13,2.57,491,25,0,1,16,2.72,762,26,0,1,15,2.65,435,19,0,0,8,2.42,404,26,0,2,14,2.69,1283,bigtwelve,69.42,-0.792754555,78.89,0.109130756,6,8,0,0,0,5,5,58,0,0,1,0,0,0,0
Kansas State,2007,74.59,-0.336726913,33,0,3,16,2.67,873,31,0,2,12,2.52,675,21,0,3,13,2.9,740,26,0,5,11,2.81,1162,16,0,4,8,3,989,bigtwelve,70.77,-0.654842474,72.29,-0.573191007,7,6,1,1,0,1,1,55,0,0,1,0,0,0,0
Kentucky,2007,83.02,0.635146926,29,0,1,9,2.31,452,30,0,3,10,2.53,829,26,0,0,4,2.15,211,27,0,1,10,2.44,490,21,0,1,8,2.48,965,SEC,80.25,0.313606811,62.71,-1.563591383,7,8,1,1,1,4,22,48,0,1,0,0,0,0,0
Louisville,2007,75.58,-0.222592263,17,1,2,11,3.06,845,25,0,4,15,2.92,975,27,0,4,8,2.59,541,23,0,1,1,2.13,222,31,0,2,8,2.39,1303,Bigeast,93.81,1.698857054,82.57,0.489576829,7,5,1,1,1,0,4,9,0,0,0,0,0,1,0
LSU,2007,93.39,1.830678564,26,2,19,5,3.88,2695,25,2,12,11,3.64,2238,13,1,7,5,3.69,1335,28,3,12,10,3.54,2492,28,1,17,10,3.68,2626,SEC,94.29,1.747892461,88.28,1.079888536,6,8,0,1,1,2,6,2,0,1,0,0,0,0,0
Maryland,2007,74.75,-0.318280909,26,1,3,13,2.85,1024,22,1,6,7,3,1149,24,1,4,15,3.08,1433,22,0,6,10,3,1261,21,1,2,15,3.05,1350,ACC,77.11,-0.007166475,77.27,-0.058348222,6,6,0,1,1,6,6,56,0,0,0,1,0,0,0
Miami-FL,2007,68.18,-1.075719951,19,1,7,8,3.21,1452,22,0,11,8,3.36,1785,17,2,11,3,3.82,1976,28,3,10,9,3.36,2329,24,3,10,10,3.63,2067,ACC,74.63,-0.260516077,84.93,0.73355855,9,8,1,1,1,0,0,38,0,0,0,1,0,0,0
Michigan,2007,82.27,0.548681282,20,2,5,12,3.4,1750,19,2,9,7,3.63,1974,23,1,10,11,3.48,1995,22,1,12,8,3.59,2116,17,2,11,3,3.82,1667,bigten,90.74,1.385234764,84.45,0.683935149,7,4,1,1,0,12,12,3,1,0,0,0,0,0,0
Michigan State,2007,75.29,-0.256025645,23,0,3,12,2.7,808,25,0,7,7,2.84,1112,24,0,1,16,2.75,762,30,0,6,16,2.93,1347,19,0,1,10,2.63,925,bigten,66.39,-1.102290561,78.68,0.087420518,6,6,0,0,0,0,3,59,1,0,0,0,0,0,0
Minnesota,2007,57.72,-2.281627467,24,0,1,9,2.46,406,21,0,0,9,2.33,297,18,0,1,10,2.67,335,24,0,0,6,2.25,298,26,0,2,14,2.69,1293,bigten,75.13,-0.209437528,81.04,0.331402239,5,7,0,1,0,0,0,68,1,0,0,0,0,0,0
Mississippi State,2007,77.69,0.020664416,34,0,4,13,2.62,871,24,0,3,10,2.67,595,27,0,3,9,2.56,767,22,0,1,3,2.23,230,28,2,3,18,3.07,1799,SEC,66.56,-1.084923854,61,-1.740374749,9,5,1,0,0,3,3,70,0,1,0,0,0,0,0
Missouri,2007,90.48,1.495191865,27,0,4,16,2.89,1059,24,0,1,13,2.63,564,23,0,1,17,2.83,662,26,0,5,5,2.58,841,22,0,4,14,3,1410,bigtwelve,76.3,-0.089913724,76.88,-0.098667236,8,5,1,1,0,6,16,28,0,0,1,0,0,0,0
NC State,2007,69.69,-0.901635788,25,0,2,12,2.64,565,20,0,0,9,2.45,407,23,0,5,9,2.83,1077,18,1,3,7,2.89,842,28,1,6,17,3.14,1889,ACC,67.48,-0.990939325,78.87,0.107063114,6,5,0,0,0,0,10,53,0,0,0,1,0,0,0
Nebraska,2007,72.69,-0.555773211,27,0,10,16,3.33,1734,22,1,5,15,3.27,1432,30,2,11,12,3.33,2178,18,0,2,11,2.83,866,19,0,4,12,3.05,1230,bigtwelve,79.69,0.256398836,81.39,0.367585969,7,5,0,1,0,3,3,25,0,0,1,0,0,0,0
North Carolina,2007,69.61,-0.91085879,24,2,4,12,3,1510,28,0,6,14,2.93,1148,24,0,1,10,2.5,594,24,0,3,8,2.58,749,26,0,7,16,3.15,1748,ACC,62.46,-1.503767954,75.53,-0.238233051,5,4,0,0,0,0,6,80,0,0,0,1,0,0,0
Northwestern,2007,65.3,-1.407748024,19,0,0,14,2.74,459,17,0,0,4,2.24,123,20,0,0,10,2.5,382,15,0,0,2,2.13,104,22,0,0,8,2.36,910,bigten,62.95,-1.453710976,78.69,0.088454339,7,8,1,0,0,1,1,57,1,0,0,0,0,0,0
Notre Dame,2007,64.55,-1.494213668,18,1,12,4,3.72,1932,28,2,10,15,3.46,2189,15,0,2,11,3,661,18,0,3,9,2.83,820,22,2,6,13,3.41,1756,Ind,83,0.594538829,86.75,0.921713945,3,5,0,1,0,2,2,36,0,0,0,0,0,0,1
Ohio State,2007,87.48,1.149329289,15,0,12,3,3.8,1577,20,2,8,10,3.6,2000,18,1,9,6,3.5,1654,25,1,9,10,3.24,1913,16,0,7,8,3.38,1267,bigten,93.88,1.706008051,95.37,1.81286752,4,5,0,1,0,6,6,13,1,0,0,0,0,0,0
Oklahoma,2007,90.66,1.51594362,21,1,9,8,3.38,1704,28,1,13,14,3.54,2180,27,2,14,10,3.63,2441,18,3,8,6,3.72,2055,24,0,16,6,3.58,2121,bigtwelve,84.83,0.781486318,86.27,0.872090545,8,6,0,1,0,8,8,10,0,0,1,0,0,0,0
